uji i humbur,vitet,Uji i humbur mil mÅ‚/ vit
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2023,111.2
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2022,85.6
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2021,85.6
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2020,84.4
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2019,87.6
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2018,87.8
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2017,89.4
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2016,81.7
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2015,77.3
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2014,75.9
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2013,76.3
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2012,80.2
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2011,89.8
"Uji i humbur (rrjedhje, humbje, pikim, prishje gypave)",2010,83.3
